	concept_pair	pmid	reltype	counts	rand value	pair description	actual relationship	Type	Notes	Note Type	meta_path	directionality	meta_path_length
117	5443_x_D004931	4075537	g_d	7	4	ACTH vs achalasia	Resistance to mentioned gene/gene product causes a disease that is comorbid with mentioned disease	J			Gene-Disease-DiseaseClass-Disease	side-up-down	4
384	8086_x_D048089	20931227	g_d	1	5	AAAS vs calves hypotrophy	AAAS mutation causes Triple A syndrome of which calves hypotrophy was a symptom in this case	0			Gene-Disease-Symptom	side-down	3
352	8086_x_D018908	18615337	g_d	2	6	AAAS vs weakness	AAAS gene mutation causes disease of which weakness is a symptom	0			Gene-Disease-Symptom	side-down	3
830	D019793_x_C562827	8740696	c_d	4	7	fluorescein vs alacrima	chem is a reagent for testing for symptom of this disease	S			Drug-Disease	side	2
303	8086_x_D006527	16609705	g_d	3	7	AAAS vs WD	WD is NOT a disease in this context	2			concept wrong	concept wrong	-1
363	8086_x_D030342	12717251	g_d	6	8	AAAS gene vs genetic disease	relationship is explicitly stated as 'associated'	5			Gene-Disease	side	2
58	5443_x_C536008	24139699	g_d	12	8	ACTH gene vs Triple A Syndrome	Resistance to ACTH gene product causes disease which is a subdisease of Triple A syndrome	G			Gene-Disease-Disease	side-up	3
751	D010710_x_C567437	12413857	c_d	3	16	phosphate vs congenital disorders of glycosylation	phosphate is not a drug concept	2			concept wrong	concept wrong	-1
145	5443_x_D009422	12150219	g_d	5	17	ACTH vs neurological disorders	ACTH resistance causes adrenal insufficiency which is co-morbid with neurological abnormalities	J			Gene-Disease-Disease-Symptom	side-up-down	4
684	D006632_x_D007239	2854735	c_d	2	18	histamine vs pulmonary infections	chemical used to test for familial dysautonomia of which pulmonary infections was a symptom	T			Drug-Disease-Symptom	side-down	3
813	D016210_x_D017696	2854735	c_d	5	40	mecholyl vs neonatal nemaline myopathy	chemical tests for familial dysautononmia which was misdiagnosed as congenital nemaline myopathy	AF			Reagent-Sample-Source	missing concepts	-1
427	C027576_x_D000544	17255094	c_d	1	47	4-hydroxy-2nonenal vs Alzheimer disease	drug can increase risk of disease (drug causes oxidative lipid damage that increases risk of amyloid formation and Alzheimer's disease	0			Drug-Disease	side	2
484	C097320_x_D003920	11522385	c_d	1	47	O-GlcNAc vs diabetes	"mention is O-GlcNAc modification, not O-GlcNAc"	2	O-GlcNAc modification is abnormal in diabetes	AA	concept wrong	concept wrong	-1
718	D007531_x_C564417	3305576	c_d	2	58	diisopropylfluorophosphate vs X-linked chronic granulomatous disease	chem is a reagent for processing samples/cells from patients with the disease	CL			Reagent-Sample-Source	missing concepts	-1
169	5443_x_D025063	20051279	g_d	3	60	ACTH vs autosomal recessive disorder	"ACTH resistant-adrenal failure normally a symptom of Triple A syndrome--a type of autosomal recessive disoreder--, but not in this case"	3			Gene-Disease-Disease-DiseaseClass	side-up-up	4
455	C050801_x_C567437	15804603	c_d	4	65	asparagine vs Type I congenital disorders of glycosylation	asparagine is not a drug concept	2			concept wrong	concept wrong	-1
180	5443_x_D056587	4075537	g_d	5	67	ACTH vs multisystem disorder	ACTH resistance is disease associated with other diseases in a multisystem disorder	R			Gene-Disease-DiseaseClass	side-up	3
204	7345_x_D030342	12717251	g_d	10	72	PGP9.5 gene vs genetic disease	PGP9.5 (a neuronal marker) used to stain samples from patient with a genetic disease	L			Reagent-Sample-Source	missing concept types	-1
770	D012794_x_D018981	24153356	c_d	2	79	sialic acid vs congenital disorders of glycosylation	sialic acid can be used to label/investigate CDG patient glycan processing	CL			Reagent-Sample-Source	missing concepts	-1
15	353_x_202200	3652558	g_d	1	95	AMP vs glucocorticoid deficiency	AMP is not a gene concept	2			concept wrong	concept wrong	-1
300	8086_x_D006470	22584989	g_d	5	97	AAAS vs  gastrointestinal bleediing	AAAS gene mutation causes adrenal crisis which is also caused by gastrointestinal bleeding	F	identifier is for hemorrhage (bleeding) not gastrointestinal bleeding	2	Gene-Disease-Disease-Disease	side-down-up	4
347	8086_x_D016472	18175081	g_d	3	106	AAAS vs motor-sensory neuropathy	AAAS gene mutation causes Triple A syndrome which includes motor-sensory neuropathy	0			Gene-Disease-Symptom	side-down	3
89	5443_x_D000224	16937455	g_d	4	107	ACTH vs adrenocortical insufficiency	ACTH resistance causes disease	D			Gene-Disease	side	2
640	D005947_x_C535742	8617881	c_d	1	109	glucose vs CDGs	chem failed to treat the disease	U			Drug-Disease	side	2
233	8086_x_C562827	12717251	g_d	7	111	AAAS gene vs alacrima	relationship is explicitly stated as 'associated'	5			Gene-Disease	side	2
132	5443_x_D004931	20499090	g_d	5	119	ACTH vs achalasia	ACTH-resistance causes adrenal insufficiency which is co-morbid with achalasia	J			Gene-Disease-Disease-Symptom	side-up-down	4
401	C014088_x_D000544	12882516	c_d	5	122	N-acetylglucosamine vs alzheimer's disease	drug is a substrate for a gene which may be related to Alzheimer's disease	AJ			Chem-Gene-Disease	side-side-side	3
394	C009091_x_D019636	24517367	c_d	3	136	"3,4-dihydroxybenzoic acid vs neurodegeneration process"	"3,4-dihydroxybenzoic acid chelates metals which may play a role in neurodegeneration"	6			Drug-Process-Disease	missing concepts	-1
157	5443_x_D020022	11353896	g_d	11	136	ACTH vs genetic defect (genetic predisposition to disease)	Resistance to ACTH causes disease which is a subdisease of a syndrome from disease class: genetic defects	H			Gene-Disease-Disease-DiseaseClass	side-up-up	4
92	5443_x_D000309	12150219	g_d	8	146	ACTH vs adrenal insufficiency	Resistance to ACTH causes Adrenal insufficiency	D			Gene-Disease	side	2
89	5443_x_D000309	8253654	g_d	7	146	ACTH vs adrenal insufficiency	Resistance to ACTH causes Adrenal insufficiency	D			Gene-Disease	side	2
267	8086_x_D000309	22584989	g_d	4	155	AAAS vs adrenal insufficiency	AAAS gene mutation causes adrenal insufficiency	0			Gene-Disease	side	2
456	C050801_x_D018981	16317064	c_d	1	161	asparagine vs congenital disorders of glycosylation	asparagine is not a drug concept in this context	2			concept wrong	concept wrong	-1
540	D000324_x_202200	11084394	c_d	3	172	ACTH vs familial glucocorticoid deficiency	ACTH resistance is a disease which includes familial glucorticoid deficiency as a type	M			Gene-Disease-Disease	side-side-side	3
840	D037201_x_D030342	8811665	c_d	1	173	FSH vs genetic disease	"mentioned chemical is altered in galactosemia, a genetic disease"	AE			Chem-Disease-DiseaseClass	side-up	3
92	5443_x_D000309	10068747	g_d	5	175	ACTH vs adrenal insufficiency	ACTH treated adrenal insufficiency in this specific case of Triple A syndrome	3	Case study showing not all Triple A has ACTH insensititivy	0	Drug-Disease-Disease	side-up	3
140	5443_x_D009422	1659963	g_d	7	177	ACTH vs neurological abnormalities (nervous system disease)	resistance/insensitivity to mentioned gene/gene product is a symptom of disease of mentioned disease class	R			Gene-Disease-DiseaseClass	side-up	3
226	8086_x_C536009	22584989	g_d	3	187	AAAS vs alacrima (Triple A syndrome)	AAAS gene mutation causes alacrima (triple A syndrome)	0			Gene-Disease-Symptom	side-down	3
84	5443_x_C564577	4075537	g_d	4	198	ACTH vs glucocorticoid deficiency	ACTH resistance is used interchangeably with glucorticoid deficiency	AB			Gene-Disease	side	2
122	5443_x_D004931	12150219	g_d	8	198	ACTH vs achalasia	Resistance to ACTH causes a disease that is comorbid with achalasia	J			Gene-Disease-DiseaseClass-Disease	side-up-down	4
425	C026406_x_C567437	15804603	c_d	2	206	dolichol pyrophosphate  vs Type I congenital disorders of glycosylation	dolichol pyrophosphate is NOT a drug in this context	2			concept wrong	concept wrong	-1
103	5443_x_D000312	8253654	g_d	7	207	ACTH vs mineralocorticoid deficiency (congenital adrenal hyperplasia)	"ACTH resistance associated with adrenal insufficiency, a type of mineralocorticoid insufficiency"	M			Gene-Disease-DiseaseClass	side-up	3
311	8086_x_D009384	19172511	g_d	2	208	AAAS vs adrenocorticotropin hormone	adrenocorticotropic hormone is not a disease	2			concept wrong	concept wrong	-1
721	D008550_x_D001750	23985544	c_d	4	209	melatonin vs impaired neurogenesis 	melatonin explicitly investigated for role in increasing neurogenesis being investigated/reviewed	4			Drug-Process-Disease	missing concepts	-1
