pmid	stype	text	concept_id
9621534	d	Achalasia cardia	D004931
15233895	d	Achalasia cardia	D004931
24139699	d	Achalasia cardia	D004931
16937455	d	Achalasia cardia	D004931
17595484	d	Achalasia cardia	D004931
9621534	d	infantile achalasia	D004931
24668180	d	infantile achalasia	D004931
9621534	d	gastroesophageal reflux	D005764
24218363	d	gastroesophageal reflux	D005764
9621534	d	achalasia	D004931
11907967	d	achalasia	D004931
11353896	d	achalasia	D004931
15690314	d	achalasia	D004931
1850671	d	achalasia	D004931
19172511	d	achalasia	D004931
10068747	d	achalasia	D004931
7945119	d	achalasia	D004931
12497758	d	achalasia	D004931
11062474	d	achalasia	D004931
12530689	d	achalasia	D004931
7758515	d	achalasia	D004931
10714761	d	achalasia	D004931
15233895	d	achalasia	D004931
18175081	d	achalasia	D004931
17853339	d	achalasia	D004931
18426811	d	achalasia	D004931
16197535	d	achalasia	D004931
24668180	d	achalasia	D004931
18615337	d	achalasia	D004931
22269647	d	achalasia	D004931
12700313	d	achalasia	D004931
3565479	d	achalasia	D004931
1659963	d	achalasia	D004931
22538409	d	achalasia	D004931
16938764	d	achalasia	D004931
19782045	d	achalasia	D004931
3014426	d	achalasia	D004931
16528113	d	achalasia	D004931
18551317	d	achalasia	D004931
17880786	d	achalasia	D004931
12150219	d	achalasia	D004931
18628786	d	achalasia	D004931
16789645	d	achalasia	D004931
8253654	d	achalasia	D004931
16543750	d	achalasia	D004931
23565431	d	achalasia	D004931
12008750	d	achalasia	D004931
25554662	d	achalasia	D004931
7895750	d	achalasia	D004931
4075537	d	achalasia	D004931
16361769	d	achalasia	D004931
24834210	d	achalasia	D004931
11807674	d	achalasia	D004931
19078797	d	achalasia	D004931
8968764	d	achalasia	D004931
21686524	d	achalasia	D004931
10698592	d	achalasia	D004931
15666842	d	achalasia	D004931
1325164	d	achalasia	D004931
15843079	d	achalasia	D004931
22000320	d	achalasia	D004931
21565631	d	achalasia	D004931
7608277	d	achalasia	D004931
25781531	d	achalasia	D004931
16609705	d	achalasia	D004931
12717251	d	achalasia	D004931
16264411	d	achalasia	D004931
11084394	d	achalasia	D004931
15516781	d	achalasia	D004931
22584989	d	achalasia	D004931
20499090	d	achalasia	D004931
10235590	d	achalasia	D004931
11159947	d	achalasia	D004931
9285947	d	achalasia	D004931
17911039	d	achalasia	D004931
17595484	d	achalasia	D004931
23056690	d	achalasia	D004931
12185357	d	achalasia	D004931
20200814	d	achalasia	D004931
8924656	d	achalasia	D004931
21656342	d	achalasia	D004931
23076455	d	achalasia	D004931
16885810	d	achalasia	D004931
24035193	d	achalasia	D004931
16970037	d	achalasia	D004931
10714360	d	achalasia	D004931
11131343	d	achalasia	D004931
20674935	d	achalasia	D004931
12429595	d	achalasia	D004931
21602994	d	achalasia	D004931
23956580	d	achalasia	D004931
17180297	d	achalasia	D004931
10426592	d	achalasia	D004931
24139699	d	achalasia	D004931
8333772	d	achalasia	D004931
15680696	d	achalasia	D004931
15217518	d	achalasia	D004931
23327820	d	achalasia	D004931
18172684	d	achalasia	D004931
19855093	d	achalasia	D004931
8006362	d	achalasia	D004931
8757578	d	achalasia	D004931
20374727	d	achalasia	D004931
12548737	d	achalasia	D004931
2019957	d	achalasia	D004931
9544638	d	achalasia	D004931
12752575	d	achalasia	D004931
10342602	d	achalasia	D004931
18493131	d	achalasia	D004931
16479006	d	achalasia	D004931
16098009	d	achalasia	D004931
21744492	d	achalasia	D004931
20706703	d	achalasia	D004931
20051279	d	achalasia	D004931
23012188	d	achalasia	D004931
9621534	d	alacrima	C536009
11907967	d	alacrima	C536009
11353896	d	alacrima	C536009
15690314	d	alacrima	C536009
1850671	d	alacrima	C536009
16970037	d	alacrima	C536009
19172511	d	alacrima	C536009
10068747	d	alacrima	C536009
7945119	d	alacrima	C536009
